CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240,famincg2,ttlincg2
  288, 4,6,6,4,6, 2,1,6,6,6,6,2
  289, 6,6,6,6,6,96,6,6,6,6,1,1
  290, 1,6,6,6,6,96,6,6,6,6,2,1
  291, 1,6,6,6,6, 1,6,6,6,6,2,1
  292, 2,1,6,6,6,96,6,6,6,6,3,3
  293, 3,6,2,6,6,96,6,6,6,6,3,3
  294, 4,6,6,4,6,96,6,6,6,6,5,5
  295, 2,1,6,6,6,96,6,6,6,6,2,2
  296, 2,1,6,6,6,96,6,6,6,6,2,2
  297, 6,6,6,6,6,96,6,6,6,6,2,2
  298, 6,6,6,6,6, 4,6,6,4,6,3,2
  299, 6,6,6,6,6, 2,1,6,6,6,6,6
  300, 6,6,6,6,6,96,6,6,6,6,4,4
  301, 1,6,6,6,6,96,6,6,6,6,2,2
  302, 4,6,6,4,6,96,6,6,6,6,1,1
  303, 2,1,6,6,6, 3,6,2,6,6,6,4
  304, 5,6,6,6,6,96,6,6,6,6,1,1
  305, 2,1,6,6,6,96,6,6,6,6,4,3
  306, 3,6,2,6,6, 2,1,6,6,6,2,1
  307, 7,6,6,6,3, 6,6,6,6,6,6,4
  308, 1,6,6,6,6, 1,6,6,6,6,2,1
  309, 4,6,6,3,6, 1,6,6,6,6,3,3
  310, 1,6,6,6,6,96,6,6,6,6,1,1
  311, 7,6,6,6,3,96,6,6,6,6,2,2
  312, 3,6,1,6,6,96,6,6,6,6,2,2
  313, 7,6,6,6,4, 7,6,6,6,3,6,2
  314, 6,6,6,6,6, 6,6,6,6,6,2,1
  315, 3,6,2,6,6, 1,6,6,6,6,3,1
  316, 6,6,6,6,6, 4,6,6,4,6,6,6
  317,99,6,6,6,3, 7,6,6,6,4,3,3
  318, 4,6,6,4,6, 4,6,6,3,6,4,2
  319, 1,6,6,6,6,96,6,6,6,6,1,1
  320, 7,6,6,6,3,96,6,6,6,6,6,6
  321, 2,2,6,6,6,96,6,6,6,6,5,5
  322, 2,1,6,6,6,96,6,6,6,6,4,4
  323, 3,6,2,6,6, 6,6,6,6,6,4,1
  324, 7,6,6,6,3,96,6,6,6,6,4,4
  325, 4,6,6,3,6, 2,1,6,6,6,4,3
  326, 2,2,6,6,6,96,6,6,6,6,2,2
  327, 1,6,6,6,6,96,6,6,6,6,1,1
  328, 4,6,6,3,6, 1,6,6,6,6,5,4
  329, 3,6,2,6,6, 3,6,2,6,6,2,2
  330, 1,6,6,6,6,96,6,6,6,6,1,1
  331, 7,6,6,6,3, 7,6,6,6,2,6,6
  332, 3,6,1,6,6, 2,1,6,6,6,6,5
  333, 4,6,6,4,6,96,6,6,6,6,2,2
  334, 7,6,6,6,3,96,6,6,6,6,3,3
  335, 2,1,6,6,6, 1,6,6,6,6,3,3
  336, 2,1,6,6,6,96,6,6,6,6,2,1
  337, 4,6,6,2,6,96,6,6,6,6,1,1
  338, 4,6,6,4,6, 4,6,6,4,6,6,4
  339, 1,6,6,6,6, 2,1,6,6,6,4,3
  340, 6,6,6,6,6, 6,6,6,6,6,3,2
  341, 4,6,6,1,6, 4,6,6,3,6,3,3
  342, 6,6,6,6,6, 7,6,6,6,3,6,3
  343, 4,6,6,3,6, 2,1,6,6,6,4,2
  344, 4,6,6,3,6, 7,6,6,6,4,6,4
  345, 4,6,6,3,6, 4,6,6,3,6,3,1
  346, 1,6,6,6,6,96,6,6,6,6,1,1
  347, 6,6,6,6,6,96,6,6,6,6,6,1
  348, 6,6,6,6,6, 7,6,6,6,3,6,4
  349, 2,1,6,6,6, 1,6,6,6,6,1,1
  350, 6,6,6,6,6, 6,6,6,6,6,5,2
  351, 6,6,6,6,6, 6,6,6,6,6,3,3
  352, 2,1,6,6,6, 2,1,6,6,6,3,2
  353, 4,6,6,3,6, 3,6,1,6,6,6,3
  354, 2,1,6,6,6, 6,6,6,6,6,4,1
  355, 7,6,6,6,3, 6,6,6,6,6,6,3
  356, 1,6,6,6,6,96,6,6,6,6,1,1
  357, 4,6,6,3,6,96,6,6,6,6,1,1
  358, 2,1,6,6,6,96,6,6,6,6,5,5
  359, 6,6,6,6,6, 6,6,6,6,6,6,6
  360, 6,6,6,6,6, 4,6,6,4,6,3,1
  361, 2,2,6,6,6, 2,1,6,6,6,3,2
  362, 1,6,6,6,6, 1,6,6,6,6,4,2
  363, 4,6,6,4,6, 7,6,6,6,1,3,1
  364, 3,6,1,6,6,96,6,6,6,6,1,1
  365, 2,1,6,6,6, 2,2,6,6,6,4,2
  366, 2,1,6,6,6, 2,1,6,6,6,4,3
  367, 7,6,6,6,3,96,6,6,6,6,5,5
  368, 4,6,6,3,6,96,6,6,6,6,3,3
  369, 4,6,6,4,6, 6,6,6,6,6,1,1
  370, 4,6,6,4,6,96,6,6,6,6,3,3
  371, 1,6,6,6,6,96,6,6,6,6,2,1
  372, 6,6,6,6,6,96,6,6,6,6,1,1
  373, 4,6,6,3,6, 4,6,6,3,6,6,5
  374, 6,6,6,6,6, 4,6,6,3,6,1,1
  375, 7,6,6,6,3, 7,6,6,6,3,5,5
  376, 2,1,6,6,6, 4,6,6,7,6,5,2
  377, 4,6,6,4,6, 6,6,6,6,6,6,3
  378, 3,6,2,6,6, 2,1,6,6,6,3,3
  379, 4,6,6,4,6,96,6,6,6,6,6,6
  380, 7,6,6,6,3, 6,6,6,6,6,4,3
  381, 4,6,6,4,6,96,6,6,6,6,3,3
  382, 3,6,1,6,6, 1,6,6,6,6,3,3
  383, 3,6,1,6,6,96,6,6,6,6,2,2
  384, 2,1,6,6,6,96,6,6,6,6,5,1
  385, 6,6,6,6,6,96,6,6,6,6,2,2
  386, 1,6,6,6,6,96,6,6,6,6,2,1
  387, 6,6,6,6,6, 7,6,6,6,3,6,6
  388, 4,6,6,4,6, 6,6,6,6,6,6,5
  389, 2,1,6,6,6, 2,1,6,6,6,6,3
  390, 1,6,6,6,6,96,6,6,6,6,2,2
  391, 7,6,6,6,3, 7,6,6,6,3,6,6
  392, 4,6,6,3,6,96,6,6,6,6,3,3
  393, 2,1,6,6,6, 2,1,6,6,6,3,2
  394, 6,6,6,6,6, 7,6,6,6,3,6,3
  395,99,6,6,6,6,96,6,6,6,6,1,1
  396, 2,1,6,6,6,96,6,6,6,6,1,1
  397, 7,6,6,6,3, 6,6,6,6,6,4,4
  398, 1,6,6,6,6, 2,2,6,6,6,2,2
  399, 7,6,6,6,3, 6,6,6,6,6,4,3
  400, 7,6,6,6,3,96,6,6,6,6,1,1
  401, 2,1,6,6,6, 1,6,6,6,6,2,1
  402, 2,1,6,6,6,96,6,6,6,6,1,1
  403, 2,1,6,6,6,96,6,6,6,6,1,1
  404, 6,6,6,6,6, 6,6,6,6,6,5,3
  405, 2,1,6,6,6,96,6,6,6,6,1,1
  406, 7,6,6,6,3, 6,6,6,6,6,4,4
  407, 3,6,2,6,6,96,6,6,6,6,3,3
  408, 3,6,1,6,6, 1,6,6,6,6,4,1
  409, 1,6,6,6,6, 1,6,6,6,6,2,2
  410, 7,6,6,6,3, 5,6,6,6,6,3,3
  411, 1,6,6,6,6, 6,6,6,6,6,2,2
  412, 4,6,6,4,6, 2,1,6,6,6,2,2
  413, 3,6,2,6,6,97,6,6,6,6,3,2
  414, 3,6,1,6,6, 5,6,6,6,6,4,2
  415, 2,1,6,6,6,96,6,6,6,6,3,2
  416, 1,6,6,6,6,96,6,6,6,6,1,1
  417, 2,1,6,6,6, 5,6,6,6,6,4,2
  418, 5,6,6,6,6, 4,6,6,3,6,2,1
  419, 3,6,2,6,6, 2,1,6,6,6,3,1
  420, 5,6,6,6,6, 6,6,6,6,6,5,1
  421, 6,6,6,6,6,96,6,6,6,6,3,1
  422, 4,6,6,3,6, 7,6,6,6,3,3,2
  423, 4,6,6,3,6, 6,6,6,6,6,6,4
  424, 4,6,6,4,6, 4,6,6,4,6,6,2
  425, 4,6,6,4,6, 7,6,6,6,3,6,5
  426, 7,6,6,6,3, 2,1,6,6,6,6,4
  427, 6,6,6,6,6,96,6,6,6,6,3,3
  428, 4,6,6,4,6,96,6,6,6,6,2,2
  429, 2,1,6,6,6,96,6,6,6,6,5,1
  430, 3,6,2,6,6,96,6,6,6,6,2,2
  431, 1,6,6,6,6, 2,1,6,6,6,3,2
  432, 7,6,6,6,3,96,6,6,6,6,4,3
  433, 3,6,1,6,6, 2,1,6,6,6,4,3
  434, 7,6,6,6,4, 7,6,6,6,3,4,1
  435, 6,6,6,6,6, 7,6,6,6,4,5,5
  436, 4,6,6,3,6,96,6,6,6,6,4,4
  437, 1,6,6,6,6, 1,6,6,6,6,2,1
  438, 5,6,6,6,6,96,6,6,6,6,1,1
  439, 2,1,6,6,6,96,6,6,6,6,2,1
  440, 2,1,6,6,6, 6,6,6,6,6,3,1
  441, 5,6,6,6,6, 5,6,6,6,6,5,4
  442, 4,6,6,3,6, 4,6,6,4,6,5,3
  443, 2,1,6,6,6,96,6,6,6,6,2,2
  444, 2,1,6,6,6, 4,6,6,4,6,5,2
  445, 3,6,2,6,6, 3,6,2,6,6,6,6
  446, 7,6,6,6,3,96,6,6,6,6,6,6
  447, 4,6,6,4,6, 2,1,6,6,6,5,3
  448, 5,6,6,6,6, 5,6,6,6,6,4,4
  449, 2,1,6,6,6, 2,1,6,6,6,2,1
  450, 1,6,6,6,6,96,6,6,6,6,1,1
  451, 2,1,6,6,6,96,6,6,6,6,2,2
  452, 5,6,6,6,6, 2,1,6,6,6,3,3
  453, 4,6,6,3,6, 4,6,6,3,6,6,4
  454, 2,1,6,6,6,96,6,6,6,6,1,1
  455, 1,6,6,6,6, 3,6,2,6,6,2,1
  456, 5,6,6,6,6, 6,6,6,6,6,6,4
  457, 4,6,6,3,6,96,6,6,6,6,1,1
  458, 2,2,6,6,6,96,6,6,6,6,6,1
  459, 4,6,6,3,6,96,6,6,6,6,1,1
  460, 4,6,6,3,6, 4,6,6,3,6,3,1
  461, 4,6,6,3,6,96,6,6,6,6,3,3
  462, 6,6,6,6,6, 7,6,6,6,3,5,1
  463, 7,6,6,6,2, 7,6,6,6,4,6,6
  464, 2,1,6,6,6,96,6,6,6,6,2,2
  465, 6,6,6,6,6, 6,6,6,6,6,2,2
  466, 4,6,6,3,6,99,6,6,6,6,3,3
  467, 1,6,6,6,6,96,6,6,6,6,1,1
  468, 4,6,6,3,6,96,6,6,6,6,1,1
  469, 2,2,6,6,6, 5,6,6,6,6,2,1
  470, 7,6,6,6,2,96,6,6,6,6,6,6
  471, 4,6,6,3,6, 4,6,6,3,6,5,2
  472, 2,1,6,6,6,96,6,6,6,6,5,1
  473, 2,1,6,6,6,96,6,6,6,6,3,3
  474, 1,6,6,6,6,97,6,6,6,6,4,1
  475, 2,1,6,6,6, 5,6,6,6,6,6,3
  476, 3,6,2,6,6,96,6,6,6,6,2,2
  477, 2,1,6,6,6, 1,6,6,6,6,6,2
  478, 6,6,6,6,6,96,6,6,6,6,5,5
