CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240
  340, 6,6,6,6,6, 6,6,6,6,6
  341, 4,6,6,1,6, 4,6,6,3,6
  342, 6,6,6,6,6, 7,6,6,6,3
  343, 4,6,6,3,6, 2,1,6,6,6
  344, 4,6,6,3,6, 7,6,6,6,4
  345, 4,6,6,3,6, 4,6,6,3,6
  346, 1,6,6,6,6,96,6,6,6,6
  347, 6,6,6,6,6,96,6,6,6,6
  348, 6,6,6,6,6, 7,6,6,6,3
  349, 2,1,6,6,6, 1,6,6,6,6
  350, 6,6,6,6,6, 6,6,6,6,6
  351, 6,6,6,6,6, 6,6,6,6,6
  352, 2,1,6,6,6, 2,1,6,6,6
  353, 4,6,6,3,6, 3,6,1,6,6
  354, 2,1,6,6,6, 6,6,6,6,6
  355, 7,6,6,6,3, 6,6,6,6,6
  356, 1,6,6,6,6,96,6,6,6,6
  357, 4,6,6,3,6,96,6,6,6,6
  358, 2,1,6,6,6,96,6,6,6,6
  359, 6,6,6,6,6, 6,6,6,6,6
  360, 6,6,6,6,6, 4,6,6,4,6
  361, 2,2,6,6,6, 2,1,6,6,6
  362, 1,6,6,6,6, 1,6,6,6,6
  363, 4,6,6,4,6, 7,6,6,6,1
  364, 3,6,1,6,6,96,6,6,6,6
  365, 2,1,6,6,6, 2,2,6,6,6
  366, 2,1,6,6,6, 2,1,6,6,6
  367, 7,6,6,6,3,96,6,6,6,6
  368, 4,6,6,3,6,96,6,6,6,6
  369, 4,6,6,4,6, 6,6,6,6,6
  370, 4,6,6,4,6,96,6,6,6,6
  371, 1,6,6,6,6,96,6,6,6,6
  372, 6,6,6,6,6,96,6,6,6,6
  373, 4,6,6,3,6, 4,6,6,3,6
  374, 6,6,6,6,6, 4,6,6,3,6
  375, 7,6,6,6,3, 7,6,6,6,3
  376, 2,1,6,6,6, 4,6,6,7,6
  377, 4,6,6,4,6, 6,6,6,6,6
  378, 3,6,2,6,6, 2,1,6,6,6
  379, 4,6,6,4,6,96,6,6,6,6
  380, 7,6,6,6,3, 6,6,6,6,6
  381, 4,6,6,4,6,96,6,6,6,6
  382, 3,6,1,6,6, 1,6,6,6,6
  383, 3,6,1,6,6,96,6,6,6,6
  384, 2,1,6,6,6,96,6,6,6,6
  385, 6,6,6,6,6,96,6,6,6,6
  386, 1,6,6,6,6,96,6,6,6,6
  387, 6,6,6,6,6, 7,6,6,6,3
  388, 4,6,6,4,6, 6,6,6,6,6
  389, 2,1,6,6,6, 2,1,6,6,6
  390, 1,6,6,6,6,96,6,6,6,6
  391, 7,6,6,6,3, 7,6,6,6,3
  392, 4,6,6,3,6,96,6,6,6,6
  393, 2,1,6,6,6, 2,1,6,6,6
  394, 6,6,6,6,6, 7,6,6,6,3
  395,99,6,6,6,6,96,6,6,6,6
  396, 2,1,6,6,6,96,6,6,6,6
  397, 7,6,6,6,3, 6,6,6,6,6
  398, 1,6,6,6,6, 2,2,6,6,6
  399, 7,6,6,6,3, 6,6,6,6,6
  400, 7,6,6,6,3,96,6,6,6,6
  401, 2,1,6,6,6, 1,6,6,6,6
  402, 2,1,6,6,6,96,6,6,6,6
  403, 2,1,6,6,6,96,6,6,6,6
  404, 6,6,6,6,6, 6,6,6,6,6
  405, 2,1,6,6,6,96,6,6,6,6
  406, 7,6,6,6,3, 6,6,6,6,6
  407, 3,6,2,6,6,96,6,6,6,6
  408, 3,6,1,6,6, 1,6,6,6,6
  409, 1,6,6,6,6, 1,6,6,6,6
  410, 7,6,6,6,3, 5,6,6,6,6
  411, 1,6,6,6,6, 6,6,6,6,6
  412, 4,6,6,4,6, 2,1,6,6,6
  413, 3,6,2,6,6,97,6,6,6,6
  414, 3,6,1,6,6, 5,6,6,6,6
  415, 2,1,6,6,6,96,6,6,6,6
  416, 1,6,6,6,6,96,6,6,6,6
  417, 2,1,6,6,6, 5,6,6,6,6
  418, 5,6,6,6,6, 4,6,6,3,6
  419, 3,6,2,6,6, 2,1,6,6,6
  420, 5,6,6,6,6, 6,6,6,6,6
  421, 6,6,6,6,6,96,6,6,6,6
  422, 4,6,6,3,6, 7,6,6,6,3
  423, 4,6,6,3,6, 6,6,6,6,6
  424, 4,6,6,4,6, 4,6,6,4,6
  425, 4,6,6,4,6, 7,6,6,6,3
  426, 7,6,6,6,3, 2,1,6,6,6
  427, 6,6,6,6,6,96,6,6,6,6
  428, 4,6,6,4,6,96,6,6,6,6
  429, 2,1,6,6,6,96,6,6,6,6
  430, 3,6,2,6,6,96,6,6,6,6
  431, 1,6,6,6,6, 2,1,6,6,6
  432, 7,6,6,6,3,96,6,6,6,6
  433, 3,6,1,6,6, 2,1,6,6,6
  434, 7,6,6,6,4, 7,6,6,6,3
  435, 6,6,6,6,6, 7,6,6,6,4
  436, 4,6,6,3,6,96,6,6,6,6
  437, 1,6,6,6,6, 1,6,6,6,6
  438, 5,6,6,6,6,96,6,6,6,6
  439, 2,1,6,6,6,96,6,6,6,6
  440, 2,1,6,6,6, 6,6,6,6,6
  441, 5,6,6,6,6, 5,6,6,6,6
  442, 4,6,6,3,6, 4,6,6,4,6
  443, 2,1,6,6,6,96,6,6,6,6
  444, 2,1,6,6,6, 4,6,6,4,6
  445, 3,6,2,6,6, 3,6,2,6,6
  446, 7,6,6,6,3,96,6,6,6,6
  447, 4,6,6,4,6, 2,1,6,6,6
  448, 5,6,6,6,6, 5,6,6,6,6
  449, 2,1,6,6,6, 2,1,6,6,6
  450, 1,6,6,6,6,96,6,6,6,6
  451, 2,1,6,6,6,96,6,6,6,6
  452, 5,6,6,6,6, 2,1,6,6,6
  453, 4,6,6,3,6, 4,6,6,3,6
  454, 2,1,6,6,6,96,6,6,6,6
  455, 1,6,6,6,6, 3,6,2,6,6
  456, 5,6,6,6,6, 6,6,6,6,6
  457, 4,6,6,3,6,96,6,6,6,6
  458, 2,2,6,6,6,96,6,6,6,6
  459, 4,6,6,3,6,96,6,6,6,6
  460, 4,6,6,3,6, 4,6,6,3,6
  461, 4,6,6,3,6,96,6,6,6,6
  462, 6,6,6,6,6, 7,6,6,6,3
  463, 7,6,6,6,2, 7,6,6,6,4
  464, 2,1,6,6,6,96,6,6,6,6
  465, 6,6,6,6,6, 6,6,6,6,6
  466, 4,6,6,3,6,99,6,6,6,6
  467, 1,6,6,6,6,96,6,6,6,6
  468, 4,6,6,3,6,96,6,6,6,6
  469, 2,2,6,6,6, 5,6,6,6,6
  470, 7,6,6,6,2,96,6,6,6,6
  471, 4,6,6,3,6, 4,6,6,3,6
  472, 2,1,6,6,6,96,6,6,6,6
  473, 2,1,6,6,6,96,6,6,6,6
  474, 1,6,6,6,6,97,6,6,6,6
  475, 2,1,6,6,6, 5,6,6,6,6
  476, 3,6,2,6,6,96,6,6,6,6
